"Occurrences","lex","Lexeme","None","Qal","Nifal","Piel","Pual","Hitpael","Hifil","Hofal","Hishtafal","Passive Qal","Etpaal","Nitpael","Hotpaal","Tifal","Hitpoal","Poal","Poel"
9,">DM[","אדם ",,"ser rojo",,,"estar teñido de rojo, estar enrojecido","lucir rojizo","llegar a ser rojo",,,,,,,,,,
223,">DMH/","אֲדָמָה I","tierra, suelo",,,,,,,,,,,,,,,,
12,">DMJ/","אֲדֹמִי ","edomita",,,,,,,,,,,,,,,,
57,">DN/","אֶדֶן I","pedestal, cavidad",,,,,,,,,,,,,,,,
438,">DNJ/","אֲדֹנָי ","Señor, Senor",,,,,,,,,,,,,,,,
19,">DNJHW/","אֲדֹנִיָּהוּ ","Adonias, Adonías",,,,,,,,,,,,,,,,
12,">DRT/","אַדֶּרֶת ","esplendor ,gloria ; manto",,,,,,,,,,,,,,,,
211,">HB[","אהב ",,"amar, gustar","ser adorable, ser amable","ser amigo, ser amante",,,,,,,,,,,,,
36,">HBH/","אֲהָבָה ","amor",,,,,,,,,,,,,,,,
15,">HH","אֲהָהּ ","oh , ay , ah",,,,,,,,,,,,,,,,
345,">HL/","אֹהֶל I","tienda, Tabernáculo",,,,,,,,,,,,,,,,
347,">HRN/","אַהֲרֹן ","Aarón, Aaron",,,,,,,,,,,,,,,,
