"Occurrences","lex","Lexeme","None","Peal","Peil","Pael","Hafel","Afel","Shafel","Hofal","Hitpeel","Hitpaal","Hishtafal","Etpeel","Etpaal"
4,"KHL[","כהל ",,"kunnen",,,,,,,,,,,
8,"KHN/","כָּהֵן ","priester",,,,,,,,,,,,
1,"KWH/","כַּוָּה ","raam",,,,,,,,,,,,
8,"KWRC/","כֹּורֶשׁ ","Cyrus",,,,,,,,,,,,
1,"KKR/","כַּכַּר ","talent",,,,,,,,,,,,
83,"KL/","כֹּל ","geheel, ieder, alle",,,,,,,,,,,,
7,"KLL[","כלל ",,,,,,,"voltooien",,,,"voltooid worden",,
8,"KN","כֵּן ","zo",,,,,,,,,,,,
5,"KNM>","כְּנֵמָא ","zo",,,,,,,,,,,,
3,"KNC[","כנשׁ ",,"bijeenbrengen",,,,,,,,"bijeenkomen",,,
7,"KNT/","כְּנָת ","metgezel, collega",,,,,,,,,,,,
13,"KSP/","כְּסַף ","zilver",,,,,,,,,,,,
13,"K<N","כְּעַן ","(wel)nu",,,,,,,,,,,,
3,"K<NT","כְּעֶנֶת ","(wel)nu",,,,,,,,,,,,
1,"K<T","כְּעֶת ","(wel)nu",,,,,,,,,,,,
4,"KPT[","כפת ",,,"gebonden zijn","binden",,,,,,,,,
1,"KR/","כֹּר ","kor <inhoudsmaat>",,,,,,,,,,,,
1,"KRBLH/","כַּרְבְּלָה ","pet",,,,,,,,,,,,
1,"KRH[","כרה ",,,,,,,,,,,,,
1,"KRWZ/","כָּרֹוז ","heraut",,,,,,,,,,,,
1,"KRZ[","כרז ",,,,,"proclameren",,,,,,,,
3,"KRS>/","כָּרְסֵא ","troon",,,,,,,,,,,,
9,"KFDJ/","כַּשְׂדָּי ","Chaldeeër",,,,,,,,,,,,
12,"KTB/","כְּתָב ","schrift, document",,,,,,,,,,,,
8,"KTB[","כתב ",,"schrijven",,,,,,,,,,,
2,"KTL/","כְּתַל ","muur",,,,,,,,,,,,
378,"L","לְ ",,,,,,,,,,,,,
82,"L>","לָא ","niet",,,,,,,,,,,,
1,"LB/","לֵב ","hart",,,,,,,,,,,,
7,"LBB/","לְבַב ","hart",,,,,,,,,,,,
2,"LBWC/","לְבוּשׁ ","kledingstuk",,,,,,,,,,,,
3,"LBC[","לבשׁ ",,"gekleed gaan",,,"kleden",,,,,,,,
3,"LHN","לָהֵן I","daarom",,,,,,,,,,,,
7,"LHN=","לָהֵן II","behalve, maar",,,,,,,,,,,,
4,"LWJ/","לֵוָי ","Leviet",,,,,,,,,,,,
1,"LWT","לְוָת ","bij",,,,,,,,,,,,
1,"LXM/","לְחֶם ","brood, maaltijd",,,,,,,,,,,,
3,"LXNH/","לְחֵנָה ","bijvrouw",,,,,,,,,,,,
5,"LJLJ/","לֵילֵי ","nacht",,,,,,,,,,,,
7,"LCN/","לִשָּׁן ","tong, taal",,,,,,,,,,,,
8,"M>H/","מְאָה ","honderd",,,,,,,,,,,,
1,"M>ZN>/","מֹאזְנֵא ","weegschaal",,,,,,,,,,,,
2,"M>MR/","מֵאמַר ","woord, bevel",,,,,,,,,,,,
7,"M>N/","מָאן ","voorwerp",,,,,,,,,,,,
1,"MGLH/","מְגִלָּה ","rol",,,,,,,,,,,,
1,"MGR[","מגר ",,,,"omverwerpen",,,,,,,,,
1,"MDBX/","מַדְבַּח ","altaar",,,,,,,,,,,,
4,"MDH/","מִדָּה ","bijdrage, belasting",,,,,,,,,,,,
4,"MDWR/","מְדֹור ","verblijfplaats",,,,,,,,,,,,
5,"MDJ/","מָדַי I","Medië",,,,,,,,,,,,
1,"MDJ=/","מָדַי II","Mediër",,,,,,,,,,,,
11,"MDJNH/","מְדִינָה ","provincie, satrapie, stad",,,,,,,,,,,,
14,"MH","מָה ","wat",,,,,,,,,,,,
1,"MWT/","מֹות ","dood",,,,,,,,,,,,
2,"MZWN/","מָזֹון ","voedsel",,,,,,,,,,,,
4,"MX>[","מחא ",,"slaan",,"slaan***",,,,,"vastgeslagen worden",,,,
1,"MXLQH/","מַחְלְקָה ","afdeling",,,,,,,,,,,,
8,"MV>[","מטא ",,"reiken",,,,,,,,,,,
1,"MJC>L/","מִישָׁאֵל ","Misaël",,,,,,,,,,,,
14,"MJCK/","מֵישַׁךְ ","Mesach",,,,,,,,,,,,
2,"ML>[","מלא ",,"(ver)vullen",,,,,,,"vullen",,,,
2,"ML>K/","מַלְאַךְ ","boodschapper, engel",,,,,,,,,,,,
24,"MLH/","מִלָּה ","woord",,,,,,,,,,,,
3,"MLX/","מְלַח ","zout",,,,,,,,,,,,
1,"MLX[","מלח ",,"zout eten",,,,,,,,,,,
180,"MLK/","מֶלֶךְ I","koning",,,,,,,,,,,,
1,"MLK=/","מְלַךְ II","advies",,,,,,,,,,,,
2,"MLKH/","מַלְכָּה ","koningin",,,,,,,,,,,,
57,"MLKW/","מַלְכוּ ","koningschap, koninkrijk, ",,,,,,,,,,,,
5,"MLL[","מלל ",,,,"spreken",,,,,,,,,
119,"MN","מִן I",,,,,,,,,,,,,
10,"MN=","מַן II","wie?, wie dan ook",,,,,,,,,,,,
3,"MN>/","מְנֵא ","mina <gewichtseenheid>",,,,,,,,,,,,
