"Occurrences","lex","Lexeme","Transliterated","None","Peal","Peil","Pael","Hafel","Afel","Shafel","Hofal","Hitpeel","Hitpaal","Hishtafal","Etpeel","Etpaal"
10,"PXH/","פֶּחָה ","peḥāʰ","governor",,,,,,,,,,,,
1,"PXR/","פֶּחָר ","peḥār","potter",,,,,,,,,,,,
1,"PVC/","פְּטַשׁ ","pᵊṭaš","a garment",,,,,,,,,,,,
1,"PLG/","פְּלַג ","pᵊlag","half",,,,,,,,,,,,
1,"PLG[","פלג ","PLG",,"be divided",,,,,,,,,,,
1,"PLGH/","פְּלֻגָּה ","pᵊluggāʰ","division",,,,,,,,,,,,
10,"PLX[","פלח ","PLḤ",,"serve",,,,,,,,,,,
1,"PLXN/","פָּלְחָן ","pālḥān","service, worship",,,,,,,,,,,,
6,"PM/","פֻּם ","pum","mouth",,,,,,,,,,,,
2,"PS/","פַּס ","pas","palm of hand",,,,,,,,,,,,
4,"PSNTRJN/","פְּסַנְתֵּרִין ","pᵊsantērîn","<stringed instrument>",,,,,,,,,,,,
20,"PRZL/","פַּרְזֶל ","parzel","iron",,,,,,,,,,,,
6,"PRS/","פָּרַס I","pāras","Persia",,,,,,,,,,,,
2,"PRS=/","פְּרֵס II","pᵊrēs","half shekel",,,,,,,,,,,,
1,"PRS[","פרס ","PRS",,,"break in two",,,,,,,,,,
1,"PRSJ/","פַּרְסָי ","parsāʸ","Persian",,,,,,,,,,,,
1,"PRQ[","פרק ","PRQ",,"remove",,,,,,,,,,,
1,"PRC[","פרשׁ ","PRŠ",,,,"be distinct?",,,,,,,,,
3,"PRCGN/","פַּרְשֶׁגֶן ","paršegen","copy",,,,,,,,,,,,
31,"PCR/","פְּשַׁר ","pᵊšar","interpretation",,,,,,,,,,,,
2,"PCR[","פשׁר ","PŠR",,"interpret",,"interpret",,,,,,,,,
6,"PTGM/","פִּתְגָם ","pitgām","word; decree",,,,,,,,,,,,
2,"PTX[","פתח ","PTḤ",,"be open","opened",,,,,,,,,,
2,"PTJ/","פְּתָי ","pᵊtāʸ","breadth",,,,,,,,,,,,
10,"YBH[","צבה ","ṢVH",,"wish, desire",,,,,,,,,,,
1,"YBW/","צְבוּ ","ṣᵊvû","thing",,,,,,,,,,,,
5,"YB<[","צבע ","ṢVʕ",,,,"make wet",,,,,,"be wet",,,
2,"YD/","צַד ","ṣad","side",,,,,,,,,,,,
1,"YD>","צְדָא ","ṣᵊdāˀ","really",,,,,,,,,,,,
1,"YDQH/","צִדְקָה ","ṣidqāʰ","charity",,,,,,,,,,,,
3,"YW>R/","צַוַּאר ","ṣawwaˀr","neck",,,,,,,,,,,,
2,"YLH[","צלה ","ṢLH",,,,"pray",,,,,,,,,
4,"YLX[","צלח ","ṢLḤ",,,,,"cause to prosper; be successful",,,,,,,,
17,"YLM/","צְלֵם ","ṣᵊlēm","statue",,,,,,,,,,,,
1,"YPJR/","צְפִיר ","ṣᵊfîr","he-goat",,,,,,,,,,,,
4,"YPR/","צִפַּר ","ṣippar","bird",,,,,,,,,,,,
29,"QBL/","קֳבֵל ","qᵒvēl","before, opposite, because of, because",,,,,,,,,,,,
3,"QBL[","קבל ","QVL",,,,"receive",,,,,,,,,
13,"QDJC/","קַדִּישׁ ","qaddîš","holy",,,,,,,,,,,,
42,"QDM/","קֳדָם ","qᵒdām","before",,,,,,,,,,,,
2,"QDMH/","קַדְמָה ","qadmāʰ","former time",,,,,,,,,,,,
3,"QDMJ/","קַדְמָי ","qadmāʸ","first",,,,,,,,,,,,
35,"QWM[","קום ","QWM",,"stand up, stand, endure",,"establish","set up, appoint, establish","set up, appoint, establish",,"be set up",,,,,
