"Occurrences","lex","Lexeme","None","Qal","Nifal","Piel","Pual","Hitpael","Hifil","Hofal","Hishtafal","Passive Qal","Etpaal","Nitpael","Hotpaal","Tifal","Hitpoal","Poal","Poel"
8,"CLJW/","שָׁלֵיו ",,,,,,,,,,,,,,,,,
4,"CLJV/","שַׁלִּיט ",,,,,,,,,,,,,,,,,
2,"CLJC/","שָׁלִישׁ I","tredjedel",,,,,,,,,,,,,,,,
16,"CLJC=/","שָׁלִישׁ II",,,,,,,,,,,,,,,,,
1,"CLJC==/","שָׁלִישׁ III",,,,,,,,,,,,,,,,,
83,"CLJCJ/","שְׁלִישִׁי ","tredje",,,,,,,,,,,,,,,,
23,"CLJCJT/","שְׁלִישִׁית ",,,,,,,,,,,,,,,,,
2,"CLK/","שָׁלָךְ ",,,,,,,,,,,,,,,,,
125,"CLK[","שׁלך ",,,,,,,"kaste","kastes",,,,,,,,,
1,"CLKT/","שַׁלֶּכֶת I",,,,,,,,,,,,,,,,,
1,"CLKT=/","שַׁלֶּכֶת II",,,,,,,,,,,,,,,,,
73,"CLL/","שָׁלָל ","bytte, plyndringsgods",,,,,,,,,,,,,,,,
2,"CLL=[","שׁלל II",,,,,,,,,,,,,,,,,
14,"CLL[","שׁלל I",,,,,,,,,,,,,,,,,
87,"CLM/","שֶׁלֶם I","fællesskabsoffer, fredsoffer",,,,,,,,,,,,,,,,
28,"CLM=/","שָׁלֵם II","fuldkommen, uskadt, fredelig",,,,,,,,,,,,,,,,
