"Occurrences","lex","Lexeme","Transliterated","None","Qal","Nifal","Piel","Pual","Hitpael","Hifil","Hofal","Hishtafal","Passive Qal","Etpaal","Nitpael","Hotpaal","Tifal","Hitpoal","Poal","Poel"
2,">WPZ/","אוּפָז ","ʔûfāz","Uphaz",,,,,,,,,,,,,,,,
12,">WPJR/","אֹופִיר I","ʔôfîr","Ophir",,,,,,,,,,,,,,,,
1,">WPJR=/","אֹופִיר II","ʔôfîr","Ophir",,,,,,,,,,,,,,,,
35,">WPN/","אֹופַן ","ʔôfan","wheel",,,,,,,,,,,,,,,,
10,">WY[","אוץ ","ʔWṢ",,"urge, be in a hurry",,,,,"urge",,,,,,,,,,
79,">WYR/","אֹוצָר ","ʔôṣār","supply, store-house, treasure",,,,,,,,,,,,,,,,
115,">WR/","אֹור I","ʔôr","light",,,,,,,,,,,,,,,,
6,">WR=/","אוּר II","ʔûr","shine; fire; east",,,,,,,,,,,,,,,,
7,">WR==/","אוּר III","ʔûr","(oracle device)",,,,,,,,,,,,,,,,
4,">WR===/","אוּר IV","ʔûr","Ur",,,,,,,,,,,,,,,,
1,">WR====/","אוּר V","ʔûr","Ur",,,,,,,,,,,,,,,,
49,">WR[","אור ","ʔWR",,"be light, become light","be, become light",,,,"shine",,,,,,,,,,
2,">WRH/","אֹורָה ","ʔôrāʰ","light; joy",,,,,,,,,,,,,,,,
1,">WRWT/","אֲוֵרֹות ","ʔᵃwērôt","stall, stable",,,,,,,,,,,,,,,,
7,">WRJ/","אוּרִי ","ʔûrî","Uri",,,,,,,,,,,,,,,,
4,">WRJ>L/","אוּרִיאֵל ","ʔûrîʔēl","Uriel",,,,,,,,,,,,,,,,
36,">WRJH/","אוּרִיָּה ","ʔûriyyāʰ","Uriah",,,,,,,,,,,,,,,,
3,">WRJHW/","אוּרִיָּהוּ ","ʔûriyyāhû","Uriah",,,,,,,,,,,,,,,,
79,">WT/","אֹות ","ʔôt","sign",,,,,,,,,,,,,,,,
4,">WT[","אות ","ʔWT",,,"agree",,,,,,,,,,,,,,
141,">Z","אָז ","ʔāz","then; formerly, since",,,,,,,,,,,,,,,,
1,">ZBJ/","אֶזְבָּי ","ʔezbāʸ","Ezbai",,,,,,,,,,,,,,,,
10,">ZWB/","אֵזֹוב ","ʔēzôv","hyssop",,,,,,,,,,,,,,,,
14,">ZWR/","אֵזֹור ","ʔēzôr","waistcloth, loincloth",,,,,,,,,,,,,,,,
3,">ZJ","אֲזַי ","ʔᵃzay","then",,,,,,,,,,,,,,,,
7,">ZKRH/","אַזְכָּרָה ","ʔazkārāʰ","part of the meal offering",,,,,,,,,,,,,,,,
1,">ZL/","אֶזֶל ","ʔezel","(uncertain)",,,,,,,,,,,,,,,,
4,">ZL[","אזל ","ʔZL",,"go away",,,,,,,,,,,,,,,
187,">ZN/","אֹזֶן I","ʔōzen","ear",,,,,,,,,,,,,,,,
1,">ZN=/","אָזֵן II","ʔāzēn","tool",,,,,,,,,,,,,,,,
1,">ZN=[","אזן II","ʔZN",,,,"weigh",,,,,,,,,,,,,
41,">ZN[","אזן I","ʔZN",,,,,,,"listen; listen to; obey",,,,,,,,,,
1,">ZN_C>RH/","אֻזֵּן שֶׁאֱרָה ","ʔuzzēn šeˀᵉrāʰ","Uzzen Sheerah",,,,,,,,,,,,,,,,
1,">ZNWT_TBWR/","אַזְנֹות תָּבֹור ","ʔaznôt tāvôr","Aznoth Tabor",,,,,,,,,,,,,,,,
1,">ZNJ/","אָזְנִי I","ʔāznî","Oznite",,,,,,,,,,,,,,,,
1,">ZNJ=/","אָזְנִי II","ʔāznî","Ozni",,,,,,,,,,,,,,,,
1,">ZNJH/","אֲזַנְיָה ","ʔᵃzanyāʰ","Azaniah",,,,,,,,,,,,,,,,
2,">ZQJM/","אֲזִקִּים ","ʔᵃziqqîm","handcuffs",,,,,,,,,,,,,,,,
16,">ZR[","אזר ","ʔZR",,"put on, gird","be girded (with)","gird someone",,"gird oneself",,,,,,,,,,,
17,">ZRX/","אֶזְרָח ","ʔezrāḥ","native, citizen",,,,,,,,,,,,,,,,
3,">ZRXJ/","אֶזְרָחִי ","ʔezrāḥî","Ezrahite",,,,,,,,,,,,,,,,
2,">ZR</","אֶזְרֹעַ ","ʔezrōₐʕ","arm",,,,,,,,,,,,,,,,
3,">X","אָח ","ʔāḥ","alas",,,,,,,,,,,,,,,,
629,">X/","אָח I","ʔāḥ","brother",,,,,,,,,,,,,,,,
1,">X=/","אֹחַ II","ʔōₐḥ","eagle owl",,,,,,,,,,,,,,,,
3,">X==/","אָח III","ʔāḥ","brazier",,,,,,,,,,,,,,,,
93,">X>B/","אַחְאָב ","ʔaḥʔāv","Ahab",,,,,,,,,,,,,,,,
1,">XBN/","אַחְבָּן ","ʔaḥbān","Ahban",,,,,,,,,,,,,,,,
970,">XD/","אֶחָד ","ʔeḥād","one, once",,,,,,,,,,,,,,,,
1,">XD[","אחד ","ʔḤD",,,,,,"turn around?",,,,,,,,,,,
3,">XW/","אָחוּ ","ʔāḥû","reed",,,,,,,,,,,,,,,,
1,">XWD/","אֵחוּד ","ʔēḥûd","Ehud",,,,,,,,,,,,,,,,
1,">XWH/","אַחֲוָה I","ʔaḥᵃwāʰ","brotherhood",,,,,,,,,,,,,,,,
1,">XWH=/","אַחְוָה II","ʔaḥwāʰ","statement",,,,,,,,,,,,,,,,
1,">XWX/","אֲחֹוחַ ","ʔᵃḥôₐḥ","Ahoah",,,,,,,,,,,,,,,,
5,">XWXJ/","אֲחֹוחִי ","ʔᵃḥôḥî","Ahohite",,,,,,,,,,,,,,,,
1,">XWMJ/","אֲחוּמַי ","ʔᵃḥûmay","Ahumai",,,,,,,,,,,,,,,,
41,">XWR/","אָחֹור ","ʔāḥôr","back; behind (adv)",,,,,,,,,,,,,,,,
