"Occurrences","lex","Lexeme","Transliterated","None","Qal","Nifal","Piel","Pual","Hitpael","Hifil","Hofal","Hishtafal","Passive Qal","Etpaal","Nitpael","Hotpaal","Tifal","Hitpoal","Poal","Poel"
1,"SWGR/","סוּגַר ","sûgar","Käfig",,,,,,,,,,,,,,,,
21,"SWD/","סֹוד ","sôd","Kreis; Besprechung",,,,,,,,,,,,,,,,
1,"SWDJ/","סֹודִי ","sôdî","Sodi",,,,,,,,,,,,,,,,
1,"SWX/","סוּחַ ","sûₐḥ","Suach",,,,,,,,,,,,,,,,
1,"SWXH/","סוּחָה ","sûḥāʰ","Unrat",,,,,,,,,,,,,,,,
2,"SWVJ/","סֹוטַי ","sôṭay","Sotai",,,,,,,,,,,,,,,,
2,"SWK=[","סוך II","SWX",,,,"aufstacheln",,,,,,,,,,,,,
9,"SWK[","סוך I","SWX",,"salben, sich salben",,,,,"sich salben",,,,,,,,,,
138,"SWS/","סוּס ","sûs","Pferd",,,,,,,,,,,,,,,,
1,"SWSH/","סוּסָה ","sûsāʰ","Stute",,,,,,,,,,,,,,,,
1,"SWSJ/","סוּסִי ","sûsî","Susi",,,,,,,,,,,,,,,,
28,"SWP/","סוּף I","sûf","Schilf",,,,,,,,,,,,,,,,
5,"SWP=/","סֹוף II","sôf","Ende",,,,,,,,,,,,,,,,
1,"SWP==/","סוּף III","sûf","Suf",,,,,,,,,,,,,,,,
4,"SWP[","סוף ","SWF",,"ein Ende finden",,,,,,,,,,,,,,,
15,"SWPH/","סוּפָה I","sûfāʰ","Windsturm",,,,,,,,,,,,,,,,
1,"SWPH=/","סוּפָה II","sûfāʰ","Sufa",,,,,,,,,,,,,,,,
3,"SWR/","סוּר I","sûr","abtrünnig",,,,,,,,,,,,,,,,
1,"SWR=/","סוּר II","sûr","Sur",,,,,,,,,,,,,,,,
297,"SWR[","סור ","SWR",,"weichen, fortgehen",,"weichen, fortgehen",,,"entfernen","entfernt werden",,,,,,,,,
1,"SWT/","סוּת ","sût","Gewand",,,,,,,,,,,,,,,,
18,"SWT[","סות ","SWT",,,,,,,"verleiten; aufreizen",,,,,,,,,,
5,"SXB[","סחב ","SḤV",,"schleifen, umherzerren",,,,,,,,,,,,,,,
2,"SXBWT/","סְחָבֹות ","sᵊḥāvôt","Lumpen",,,,,,,,,,,,,,,,
1,"SXH[","סחה ","SḤH",,,,"wegfegen",,,,,,,,,,,,,
1,"SXJ/","סְחִי ","sᵊḥî","Kehricht",,,,,,,,,,,,,,,,
1,"SXJC/","סָחִישׁ ","sāḥîš","Wildwuchs",,,,,,,,,,,,,,,,
2,"SXP[","סחף ","SḤF",,"fortschwemmen","niedergeworfen sein",,,,,,,,,,,,,,
7,"SXR/","סַחַר ","saḥar","Erwerb",,,,,,,,,,,,,,,,
21,"SXR[","סחר ","SḤR",,"sich frei bewegen; Händler",,"sich frei bewegen; Händler",,,,,,,,,,,,,
1,"SXRH/","סֹחֵרָה I","sōḥērāʰ","Schutzwehr?",,,,,,,,,,,,,,,,
1,"SXRH=/","סְחֹרָה II","sᵊḥōrāʰ","<unklar>",,,,,,,,,,,,,,,,
1,"SXRT/","סֹחֶרֶת ","sōḥeret","Bodenbelag",,,,,,,,,,,,,,,,
1,"SVJM/","סֵטִים ","sēṭîm","<unklar>",,,,,,,,,,,,,,,,
8,"SJG/","סִיג ","sîg","Schlacke",,,,,,,,,,,,,,,,
1,"SJWN/","סִיוָן ","sîwān","Siwan <Monat>",,,,,,,,,,,,,,,,
37,"SJXWN/","סִיחֹון ","sîḥôn","Sihon",,,,,,,,,,,,,,,,
4,"SJN/","סִין I","sîn","Sin",,,,,,,,,,,,,,,,
2,"SJN=/","סִין II","sîn","Sin",,,,,,,,,,,,,,,,
2,"SJNJ/","סִינִי I","sînî","Siniter",,,,,,,,,,,,,,,,
35,"SJNJ=/","סִינַי II","sînay","Sinai",,,,,,,,,,,,,,,,
1,"SJNJM/","סִינִים ","sînîm","Sinim",,,,,,,,,,,,,,,,
1,"SJS/","סִיס ","sîs","Mauersegler",,,,,,,,,,,,,,,,
21,"SJSR>/","סִיסְרָא ","sîsrāˀ","Sisera",,,,,,,,,,,,,,,,
2,"SJ<>/","סִיעָא ","sîʕāˀ","Sia",,,,,,,,,,,,,,,,
29,"SJR/","סִיר ","sîr","Topf, Wanne",,,,,,,,,,,,,,,,
5,"SJRH/","סִירָה ","sîrāʰ","Dorn, Haken",,,,,,,,,,,,,,,,
4,"SK/","סֹךְ I","sōx","Versteck",,,,,,,,,,,,,,,,
1,"SK=/","סָךְ II","sāx","<unklar>",,,,,,,,,,,,,,,,
31,"SKH/","סֻכָּה ","sukkāʰ","Laubdach",,,,,,,,,,,,,,,,
18,"SKWT/","סֻכֹּות I","sukkôt","Sukkot",,,,,,,,,,,,,,,,
1,"SKWT=/","סִכּוּת II","sikkût","Sikkut",,,,,,,,,,,,,,,,
1,"SKWT_BNWT/","סֻכֹּות בְּנֹות ","sukkôt bᵊnôt","Sukkot-Benot",,,,,,,,,,,,,,,,
1,"SKJ/","סֻכִּי ","sukkî","Sukkijiter",,,,,,,,,,,,,,,,
1,"SKK/","סֹכֵךְ ","sōxēx","Barrikade",,,,,,,,,,,,,,,,
2,"SKK=[","סכך II","SXX",,"weben",,"weben",,,,,,,,,,,,,
18,"SKK[","סכך I","SXX",,"absperren, verborgen halten",,,,,"absperren; (Beine) spreizen",,,,,,,,,,
1,"SKKH/","סְכָכָה ","sᵊxāxāʰ","Sechacha",,,,,,,,,,,,,,,,
7,"SKL/","סָכָל I","sāxāl","töricht",,,,,,,,,,,,,,,,
1,"SKL=/","סֶכֶל II","sexel","Torheit",,,,,,,,,,,,,,,,
7,"SKL[","סכל ","SXL",,,"sich töricht verhalten","töricht sein lassen",,,"töricht handeln",,,,,,,,,,
6,"SKLWT/","סִכְלוּת ","sixlût","Torheit",,,,,,,,,,,,,,,,
1,"SKN=[","סכן II","SXN",,,,,"<unklar>",,,,,,,,,,,,
